"State","Females","Males","Female:Male proportion"
"HI",0,11,0
"WA",6,41,0.146341463414634
"MT",2,9,0.222222222222222
"ME",2,11,0.181818181818182
"ND",0,9,0
"SD",0,4,0
"WY",0,3,0
"WI",6,43,0.13953488372093
"ID",1,3,0.333333333333333
"VT",0,3,0
"MN",4,48,0.0833333333333333
"OR",5,29,0.172413793103448
"NH",2,6,0.333333333333333
"IA",0,25,0
"MA",15,104,0.144230769230769
"NE",1,12,0.0833333333333333
"NY",41,435,0.0942528735632184
"PA",13,160,0.08125
"CT",6,57,0.105263157894737
"RI",0,15,0
"NJ",5,130,0.0384615384615385
"IN",9,57,0.157894736842105
"NV",0,5,0
"UT",0,11,0
"CA",28,354,0.0790960451977401
"OH",12,146,0.0821917808219178
"IL",18,144,0.125
"DC",1,8,0.125
"DE",0,11,0
"WV",0,22,0
"MD",4,64,0.0625
"CO",2,31,0.0645161290322581
"KY",3,29,0.103448275862069
"KS",1,24,0.0416666666666667
"VA",2,42,0.0476190476190476
"MO",5,54,0.0925925925925926
"AZ",6,21,0.285714285714286
"OK",0,22,0
"NC",5,22,0.227272727272727
"TN",2,34,0.0588235294117647
"TX",7,94,0.074468085106383
"NM",3,12,0.25
"AL",3,17,0.176470588235294
"MS",2,15,0.133333333333333
"GA",1,36,0.0277777777777778
"SC",1,19,0.0526315789473684
"AR",1,13,0.0769230769230769
"LA",5,33,0.151515151515152
"FL",6,63,0.0952380952380952
"MI",4,102,0.0392156862745098
"AK",3,6,0.5
