name,sex,count
Aaban,M,72
Aabha,F,21
Aabid,M,5
Aabriella,F,10
Aadam,M,196
Aadan,M,112
Aadarsh,M,158
Aaden,M,3915
Aadesh,M,15
Aadhav,M,102
Aadhavan,M,19
Aadhi,M,12
Aadhira,F,29
Aadhya,F,639
Aadhyan,M,5
Aadi,M,667
Aadian,M,5
Aadil,M,297
Aadin,M,112
Aadish,M,17
Aadison,F,11
Aadit,M,267
Aadith,M,39
Aaditri,F,26
Aaditya,M,457
Aadiv,M,11
Aadon,M,100
Aadrian,M,5
Aadrika,F,10
Aadrit,M,5
Aadvik,M,26
Aadvika,F,13
Aadya,F,558
Aadyn,M,387
Aafreen,F,5
Aagam,M,8
Aage,M,7
Aagot,F,5
Aahaan,M,12
Aahan,M,165
Aahana,F,377
Aahil,M,329
Aahliyah,F,24
Aahna,F,72
Aahron,M,5
Aaidan,M,38
Aaiden,M,543
Aaidyn,M,38
Aaila,F,18
Aailiyah,F,10
Aailyah,F,172
Aaima,F,21
Aaira,F,73
Aairah,F,24
Aaisha,F,168
Aaishah,F,18
Aaiyana,F,5
Aaiza,F,16
Aaja,F,5
Aajah,F,29
Aajaylah,F,20
Aajon,M,8
Aakanksha,F,5
Aakarsh,M,53
Aakash,M,877
Aakeem,M,16
Aakilah,F,18
Aakira,F,5
Aakiyah,F,5
Aakriti,F,30
Aala,F,64
Aalaiya,F,7
Aalaiyah,F,39
Aalana,F,43
Aalanah,F,21
Aalani,F,34
Aalap,M,6
Aalaya,F,111
Aalayah,F,592
Aalayiah,F,7
Aalayjah,F,6
Aalayna,F,30
Aalaysha,F,17
Aalaysia,F,109
Aalea,F,7
Aaleah,F,234
Aaleahya,F,15
Aaleeya,F,5
Aaleeyah,F,93
Aaleigha,F,139
Aaleiyah,F,32
Aalexis,F,20
Aalexus,F,6
Aaleya,F,16
Aaleyah,F,764
Aalia,F,342
Aaliah,F,784
Aaliana,F,7
Aalias,M,5
Aaliayah,F,124
Aaliayh,F,47
Aalicia,F,5
Aaliha,F,12
Aalijah,M,155
Aalim,M,27
Aalimah,F,11
Aalina,F,36
Aalisha,F,30
Aalivia,F,47
Aaliya,F,1010
Aaliyaa,F,5
Aaliyah,F,69833
Aaliyaha,F,21
Aaliyahmarie,F,22
Aaliyahrose,F,12
Aaliyan,F,97
Aaliyana,F,93
Aaliyha,F,422
Aaliyiah,F,31
Aalliyah,F,164
Aallyah,F,5
Aalok,M,10
Aalon,M,5
Aalya,F,32
Aalyah,F,590
Aalycia,F,25
Aalyha,F,19
Aalyia,F,5
Aalyiah,F,665
Aalysia,F,6
Aalyssa,F,110
Aalyvia,F,5
Aamanda,F,10
Aamani,F,127
Aamar,M,5
Aamari,M,88
Aamarion,M,10
Aamaya,F,5
Aamber,F,14
Aamena,F,10
Aamer,M,30
Aamia,F,11
Aamil,M,17
Aamilah,F,32
Aamina,F,232
Aaminah,F,271
Aamir,M,1427
Aamira,F,212
Aamirah,F,139
Aamiya,F,31
Aamiyah,F,302
Aamna,F,190
Aamoni,F,10
Aamori,F,87
Aamya,F,121
Aamyah,F,51
Aana,F,7
Aanand,M,5
Aanav,M,6
Aanaya,F,7
Aanchal,F,67
Aania,F,36
Aaniah,F,33
Aanijah,F,5
Aanika,F,214
Aanisah,F,39
Aaniya,F,253
Aaniyah,F,1026
Aaniylah,F,11
Aansh,M,11
Aanshi,F,47
Aanvi,F,81
Aanya,F,1936
Aanyah,F,78
Aanyla,F,7
Aapri,F,5
Aaqib,M,22
Aaqil,M,28
Aara,F,50
Aarabella,F,10
Aaradhana,F,17
Aaradhya,F,222
Aaraiz,M,6
Aaralyn,F,1023
Aaralynn,F,224
Aaran,M,175
Aaraon,M,5
Aaratrika,F,5
Aarav,M,3271
Aaren,M,717
Aareon,M,33
Aareona,F,7
Aari,M,5
Aaria,F,157
Aariah,F,163
Aarian,M,76
Aariana,F,353
Aarianna,F,167
Aarib,M,39
Aaric,M,382
Aarica,F,95
Aarick,M,22
Aarie,F,5
Aariel,F,159
Aarielle,F,24
Aarik,M,122
Aarika,F,723
Aarilyn,F,84
Aarin,M,443
Aarini,F,68
Aarion,M,431
Aariona,F,221
Aarionna,F,133
Aaris,M,29
Aarish,M,92
Aarit,M,64
Aariv,M,95
Aariya,F,72
Aariyah,F,276
Aariyan,M,5
Aariyana,F,74
Aariyanna,F,14
Aariyona,F,5
Aariyonna,F,5
Aariz,M,406
Aarjav,M,15
Aarn,M,17
Aarna,F,830
Aarnav,M,359
Aarnavi,F,26
Aarne,M,10
Aaro,M,16
Aaroh,M,5
Aarohan,M,16
Aarohi,F,266
Aarolyn,F,6
Aaron,M,553615
Aarona,F,5
Aaronae,F,5
Aaronda,F,5
Aaronette,F,11
Aaronisha,F,6
Aaronjacob,M,5
Aaronjames,M,95
Aaronjohn,M,21
Aaronjoseph,M,7
Aaronjosh,M,5
Aaronjoshua,M,10
Aaronlee,M,5
Aaronmichael,M,74
Aaronn,M,22
Aaroosh,M,6
Aarren,M,5
Aarron,M,1204
Aarsh,M,43
Aarshi,F,16
Aarshiya,F,5
Aarthi,F,104
Aarti,F,432
Aarush,M,1483
Aarushi,F,589
Aarvi,F,40
Aarvin,M,5
Aarya,F,950
Aaryah,F,30
Aaryan,M,968
Aaryana,F,88
Aaryanna,F,193
Aaryav,M,71
Aaryn,F,926
Aaryon,M,10
Aaryona,F,5
Aaser,M,5
Aasha,F,252
Aashana,F,5
Aashay,M,24
Aashi,F,423
Aashia,F,6
Aashika,F,61
Aashini,F,5
Aashir,M,84
Aashirya,F,15
Aashish,M,132
Aashita,F,6
Aashiyana,F,12
Aashka,F,124
Aashman,M,5
Aashna,F,543
Aashni,F,46
Aashray,M,5
Aashrita,F,41
Aashrith,M,92
Aashritha,F,113
Aashvi,F,138
Aasia,F,203
Aasim,M,195
Aasin,M,52
Aasir,M,29
Aasiya,F,128
Aasiyah,F,359
Aason,M,17
Aastha,F,246
Aathan,M,5
Aatif,M,10
Aatish,M,16
Aava,F,68
Aavah,F,28
Aaven,M,31
Aavi,M,12
Aavin,M,10
Aavion,M,17
Aavya,F,14
Aavyan,M,5
Aavyn,M,6
Aaya,F,38
Aayaan,M,31
Aayah,F,24
Aayam,M,5
Aayan,M,883
Aayana,F,99
Aayanah,F,10
Aayanna,F,38
Aayansh,M,34
Aayat,F,40
Aaydan,M,6
Aayden,M,1006
Aayla,F,304
Aaylah,F,46
Aayliah,F,76
Aayra,F,5
Aayu,M,6
Aayush,M,948
Aayusha,F,5
Aayushi,F,195
Aazan,M,5
Aazim,M,15
Aaziyah,F,18
Ab,M,356
Aba,F,22
Abaan,M,22
Abad,M,82
Abagael,F,210
Abagail,F,5368
Abagaile,F,15
Abagale,F,356
Abagayle,F,336
Abaigael,F,13
Abaigail,F,10
Abaigeal,F,307
Aban,M,16
Abanoub,M,117
Abas,M,60
Abasi,M,40
Abass,M,68
Abayomi,M,215
Abb,M,96
Abba,M,27
Abbaas,M,5
Abbagail,F,805
Abbagale,F,134
Abbagayle,F,112
Abbas,M,1040
Abbe,F,1325
Abbee,F,158
Abbegail,F,246
Abbegale,F,82
Abbegayle,F,73
Abbey,F,16738
Abbeygail,F,66
Abbeygale,F,22
Abbi,F,1932
Abbie,F,20872
Abbiegail,F,237
Abbiegale,F,58
Abbiegayle,F,18
Abbigael,F,162
Abbigail,F,10799
Abbigaile,F,91
Abbigal,F,148
Abbigale,F,2015
Abbigayl,F,29
Abbigayle,F,1246
Abbilyn,F,12
Abbot,M,18
Abbott,M,832
Abbra,F,36
Abbriella,F,24
Abbrielle,F,83
Abby,F,55401
Abbye,F,184
Abbygael,F,70
Abbygail,F,3039
Abbygaile,F,47
Abbygale,F,722
Abbygayl,F,6
Abbygayle,F,417
Abbylynn,F,18
Abcde,F,339
Abd,M,17
Abdala,M,6
Abdalah,M,6
Abdalla,M,257
Abdallah,M,1070
Abdalrahman,M,138
Abdalrhman,M,5
Abdel,M,506
Abdelaziz,M,87
Abdelhadi,M,5
Abdelkareem,M,10
Abdelkarim,M,27
Abdellah,M,17
Abdelrahman,M,507
Abdelrhman,M,6
Abderrahman,M,5
Abdi,M,238
Abdias,M,486
Abdiasis,M,6
Abdiaziz,M,107
Abdiel,M,3193
Abdifatah,M,168
Abdihafid,M,9
Abdihakim,M,24
Abdihamid,M,5
Abdikadir,M,114
Abdikarim,M,21
Abdikhaliq,M,5
Abdilahi,M,10
Abdimalik,M,141
Abdinajib,M,5
Abdinasir,M,135
Abdiqani,M,20
