id_person_dim,surname,forename,person_title,person_role,alt_name,m_f,MB,BS,TT,YX,RZ,CHOICE
593,Miller,F.L.,Lt. Col.,NULL,NULL,NULL,,,M,,,
620,Potter,D.,NULL,NULL,NULL,NULL,,,NULL,,,
631,Koberlein,K.,NULL,NULL,NULL,NULL,,,NULL,,,
633,Sansky,J.,NULL,NULL,NULL,NULL,,,NULL,,,
642,Simpson,L.L.,NULL,NULL,NULL,NULL,,,NULL,,,
711,Krauss,K.,NULL,NULL,NULL,NULL,,,NULL,,,
385,Olson,Lenert,NULL,NULL,NULL,NULL,,,M,,,
742,Goetz,J.P.,NULL,NULL,NULL,NULL,,,NULL,,,
779,King,Tap,NULL,NULL,NULL,NULL,,,M,,,
832,Crill,C.C.,NULL,NULL,NULL,NULL,,,NULL,,,
874,Brogdon,M.,NULL,NULL,NULL,NULL,,,NULL,,,
882,Corey,F.K.,Capt.,NULL,NULL,NULL,,,NULL,,,
903,The Page House Mob,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
912,Stewart,R.,Capt.,NULL,NULL,NULL,,,NULL,,,
962,Born,A.J.,NULL,NULL,NULL,NULL,,,NULL,,,
984,NULL,Hack,NULL,NULL,NULL,NULL,,,M,,,
999,Haslan,H.,NULL,NULL,NULL,NULL,,,NULL,,,
1000,Haslam,H.,"Jr., SFC",NULL,NULL,NULL,,,NULL,,,
1028,Rothholtz,A.,NULL,NULL,NULL,NULL,,,NULL,,,
1029,Kwitter,H.,NULL,NULL,NULL,NULL,,,NULL,,,
1030,Bulin,A.,NULL,NULL,NULL,NULL,,,NULL,,,
1031,Segal,M.,NULL,NULL,NULL,NULL,,,NULL,,,
1067,Turner,\'Swifty\',R.A.,NULL,NULL,NULL,,,M,,,
1080,India Company,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
1088,NULL,Unsigned,NULL,NULL,NULL,NULL,,,NULL,,,
1091,Brodsky,S.,NULL,NULL,NULL,NULL,,,NULL,,,
