id_activity_fact,fact_person,fact_location,fact_phys_loc,fact_letter,fact_source_gcd
0,1,1,2,1,1
6,2,3,1,6,18394
0,2,3,4,1,2
0,1602,3,4,1,1624
0,554,527,5,1,554
0,4,5,6,1,4
0,5,6,7,1,5
0,1512,1414,7,1,1526
0,7,7,8,1,7
0,591,7,8,1,592
0,1545,7,8,1,1564
8,8,9,1,8,18394
9,9,10,1,9,18394
10,10,11,1,10,18394
11,11,12,1,11,18394
12,12,13,1,12,18394
13,12,13,1,13,18394
14,13,14,1,14,18394
15,16,15,1,15,18503
16,17,16,1,16,18503
0,67,67,16,1,67
17,18,17,1,17,18503
18,19,18,1,18,18503
19,20,19,1,19,18503
20,21,20,1,20,18624
21,22,21,1,21,18624
22,23,22,1,22,18624
23,24,23,1,23,18624
24,25,24,1,24,18624
25,26,25,1,25,18762
0,367,26,25,1,367
26,27,26,1,26,18762
794,27,26,1,795,21601
27,28,27,1,27,18762
28,29,28,1,28,18762
29,30,29,1,29,18762
56,30,29,1,56,19172
0,613,30,29,1,614
0,685,30,29,1,686
Approved by the Comics Code Authority,0,3433,30,29,1
30,31,30,1,30,18762
31,32,31,1,31,18762
32,33,32,1,32,18762
33,34,33,1,33,18762
0,1909,1813,33,1,1977
34,35,34,1,34,18762
0,361,342,34,1,361
0,363,343,34,1,363
35,36,35,1,35,18762
41,36,35,1,41,18909
0,394,36,35,1,394
0,2729,36,35,1,2940
36,37,36,1,36,18909
37,38,37,1,37,18909
38,39,38,1,38,18909
39,40,39,1,39,18909
40,41,40,1,40,18909
105,41,40,1,105,19172
0,389,41,40,1,389
42,42,41,1,42,18909
43,43,42,1,43,18909
44,44,43,1,44,19042
45,45,44,1,45,19042
0,379,45,44,1,379
0,684,45,44,1,685
46,46,45,1,46,19042
47,47,46,1,47,19042
48,48,47,1,48,19042
49,49,48,1,49,19042
50,50,49,1,50,19042
51,51,50,1,51,19042
52,52,51,1,52,19042
53,53,52,1,53,19172
54,54,53,1,54,19172
55,55,54,1,55,19172
57,56,55,1,57,19172
0,58,58,56,1,58
0,588,58,56,1,589
0,59,59,57,1,59
0,60,60,58,1,60
0,61,61,59,1,61
0,97,61,59,1,97
Approved by the Comics Code Authority,0,3288,61,59,1
0,62,62,60,1,62
0,63,63,61,1,63
64,64,62,1,64,18394
0,81,64,62,1,81
0,65,65,63,1,65
0,66,66,64,1,66
0,73,66,64,1,73
0,168,66,64,1,168
0,349,330,64,1,349
0,1634,66,64,1,1657
0,68,68,66,1,68
0,69,69,67,1,69
0,1566,69,67,1,1588
0,70,70,68,1,70
0,71,71,69,1,71
0,1622,71,69,1,1644
0,72,72,70,1,72
0,158,72,70,1,158
,0,2360,2228,70,1
0,74,73,71,1,74
0,75,74,72,1,75
0,88,74,72,1,88
0,76,75,73,1,76
0,1543,75,73,1,1562
0,77,76,74,1,77
0,329,77,75,1,329
0,78,78,76,1,78
0,203,78,76,1,203
0,327,78,76,1,327
