issue_id,issue_number,volume,no_volume,display_volume_with_number,series_id,indicia_pub_not_printed,no_brand,publication_date,key_date,sort_code,price,page_count,page_count_uncertain,indicia_frequency,no_indicia_frequency,editing,no_editing,notes,created,modified,reserved,deleted,is_indexed,isbn,valid_isbn,no_isbn,variant_of_id,variant_name,barcode,no_barcode,title,no_title,on_sale_date,on_sale_date_uncertain,rating,no_rating
0,17571,6,,1,0,1515,0,0,Mar-63,1963-03-00,40847,0.12 USD,36,0,Bi-Monthly,0,Stan Lee,0,Final issue. Feature continues in Tales to Astonish #60.
The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,3/15/15 3:35,0,0,1,,,1,NULL,,,1,,0,1/3/63,0,
18394,5,1,0,0,1576,0,0,May-64,1964-05-00,43829,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:33,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,17773,3,1,0,0,1570,0,0,Jul-63,1963-07-00,42873,0.12 USD,36,0,bimonthly,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,4/1/15 18:12,0,0,1,,,1,NULL,,,1,,0,4/9/63,0,
0,17889,18,1,0,0,1482,0,0,Sep-63,1963-09-00,40128,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in the U. S. Copyright Office filings.,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,6/11/63,0,
0,17154,3,,1,0,1515,0,0,Sep-62,1962-09-00,40841,0.12 USD,36,0,Bi-Monthly,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,3/15/15 3:30,0,0,1,,,1,NULL,,,1,,0,7/3/62,0,
0,17211,7,1,0,0,1482,0,0,Oct-62,1962-10-00,40115,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,3/31/15 11:47,0,0,1,,,1,NULL,,,1,,0,7/3/62,0,
0,17266,4,,1,0,1515,0,0,Nov-62,1962-11-00,40843,0.12 USD,36,0,Bi-Monthly,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,3/15/15 3:31,0,0,1,,,1,NULL,,,1,,0,9/4/62,0,
0,17569,12,1,0,0,1482,0,0,Mar-63,1963-03-00,40120,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in the U. S. Copyright Office filings.,2/6/01 0:00,4/4/15 23:08,0,0,1,,,1,NULL,,,1,,0,12/10/62,0,
18503,6,1,0,0,1576,0,0,Jul-64,1964-07-00,43831,0.12 USD,36,0,bimonthly,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,17887,4,,0,0,1570,0,0,Sep-63,1963-09-00,42874,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,4/1/15 18:13,0,0,1,,,1,NULL,,,1,,0,6/11/63,0,
18624,7,1,0,0,1576,0,0,Sep-64,1964-09-00,43832,0.12 USD,36,0,bimonthly,0,Stan Lee,0,,4/15/01 0:00,3/2/15 20:56,0,0,1,,,1,NULL,,,1,,0,,0,,0
18762,8,1,0,0,1576,0,0,Nov-64,11/10/64,43833,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,18820,19,,0,0,1570,0,0,Dec-64,12/10/64,42896,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,11/10/14 19:17,0,0,1,,,1,NULL,,,1,,0,,0,
