id_letter_dim,letter_pg_title,letter_text,letter_note,
1,Let\'s Talk About the Hulk,NULL,NULL,
2,Spider\'s Web,NULL,NULL,
4,Spider\'s Web,NULL,NULL,
5,Let\'s Talk about the Hulk,NULL,NULL,
6,let\'s visit the X-Men,NULL,The person\'s surname was spelled in the original document as \'Phiillips\' however we believed this to be a misspelling and so corrected it to \'Phillips\'.,
7,Spider\'s Web,NULL,NULL,
8,let\'s visit the X-Men,NULL,NULL,
9,let\'s visit the X-Men,NULL,NULL,
10,let\'s visit the X-Men,NULL,NULL,
11,let\'s visit the X-Men,NULL,NULL,
12,let\'s visit the X-Men,NULL,NULL,
13,let\'s visit the X-Men,NULL,NULL,
14,let\'s visit the X-Men,NULL,NULL,
15,let\'s visit the X-Men,NULL,NULL,
16,let\'s visit the X-Men,NULL,NULL,
17,let\'s visit the X-Men,NULL,NULL,
18,let\'s visit the X-Men,NULL,NULL,
19,let\'s visit the X-Men,NULL,NULL,
20,let\'s visit the X-Men,NULL,NULL,
21,let\'s visit the X-Men,NULL,NULL,
22,let\'s visit the X-Men,NULL,Written from the US Embassy in Thailand.,
23,let\'s visit the X-Men,NULL,NULL,
24,let\'s visit the X-Men,NULL,NULL,
25,let\'s visit the X-Men,NULL,NULL,
26,let\'s visit the X-Men,NULL,NULL,
27,let\'s visit the X-Men,NULL,NULL,
28,let\'s visit the X-Men,NULL,NULL,
29,let\'s visit the X-Men,NULL,NULL,
30,let\'s visit the X-Men,NULL,NULL,
31,let\'s visit the X-Men,NULL,NULL,
32,let\'s visit the X-Men,NULL,NULL,
33,let\'s visit the X-Men,NULL,NULL,
34,let\'s visit the X-Men,NULL,NULL,
35,let\'s visit the X-Men,NULL,NULL,
36,let\'s visit the X-Men,NULL,NULL,
37,let\'s visit the X-Men,NULL,NULL,
38,let\'s visit the X-Men,NULL,NULL,
39,let\'s visit the X-Men,NULL,NULL,
40,let\'s visit the X-Men,NULL,NULL,
41,let\'s visit the X-Men,NULL,NULL,
42,let\'s visit the X-Men,NULL,NULL,
43,let\'s visit the X-Men,NULL,NULL,
44,let\'s visit the X-Men,NULL,NULL,
45,let\'s visit the X-Men,NULL,NULL,
46,let\'s visit the X-Men,NULL,NULL,
47,let\'s visit the X-Men,NULL,NULL,
48,let\'s visit the X-Men,NULL,NULL,
49,let\'s visit the X-Men,NULL,NULL,
50,let\'s visit the X-Men,NULL,NULL,
51,let\'s visit the X-Men,NULL,NULL,
52,let\'s visit the X-Men,NULL,NULL,
53,let\'s visit the X-Men,NULL,NULL,
54,let\'s visit the X-Men,NULL,NULL,
55,let\'s visit the X-Men,NULL,NULL,
56,let\'s visit the X-Men,NULL,NULL,
57,let\'s visit the X-Men,NULL,NULL,
58,Spider\'s Web,NULL,NULL,
59,Spider\'s Web,NULL,NULL,
60,Spider\'s Web,NULL,NULL,
61,Spider\'s Web,NULL,NULL,
62,Spider\'s Web,NULL,NULL,
63,Spider\'s Web,NULL,NULL,
64,Spider\'s Web,NULL,NULL,
65,Spider\'s Web,NULL,NULL,
66,Spider\'s Web,NULL,NULL,
67,Spider\'s Web,NULL,NULL,
68,Spider\'s Web,NULL,NULL,
69,Spider\'s Web,NULL,NULL,
70,Spider\'s Web,NULL,NULL,
71,Spider\'s Web,NULL,NULL,
72,Spider\'s Web,NULL,NULL,
73,Spider\'s Web,NULL,NULL,
74,Spider\'s Web,NULL,NULL,
75,Spider\'s Web,NULL,NULL,
76,Spider\'s Web,NULL,NULL,
77,Spider\'s Web,NULL,NULL,
78,Spider\'s Web,NULL,NULL,
79,Spider\'s Web,NULL,NULL,
80,Spider\'s Web,NULL,NULL,
81,Spider\'s Web,NULL,NULL,
82,Spider\'s Web,NULL,NULL,
83,Spider\'s Web,NULL,NULL,
84,Spider\'s Web,NULL,NULL,
85,Spider\'s Web,NULL,NULL,
86,Spider\'s Web,NULL,NULL,
87,Spider\'s Web,NULL,NULL,
88,Spider\'s Web,NULL,NULL,
89,Spider\'s Web,NULL,NULL,
90,Spider\'s Web,NULL,NULL,
91,Spider\'s Web,NULL,NULL,
92,Spider\'s Web,NULL,NULL,
93,Spider\'s Web,NULL,NULL,
94,Spider\'s Web,NULL,NULL,
95,Spider\'s Web,NULL,NULL,
96,Spider\'s Web,NULL,NULL,
97,Spider\'s Web,NULL,NULL,
98,Spider\'s Web,NULL,NULL,
99,Spider\'s Web,NULL,NULL,
100,Spider\'s Web,NULL,NULL,
101,Spider\'s Web,NULL,NULL,
102,Spider\'s Web,NULL,NULL,
103,let\'s visit the X-Men,NULL,NULL,
104,let\'s visit the X-Men,NULL,NULL,
105,let\'s visit the X-Men,NULL,NULL,
106,Spider\'s Web,NULL,NULL,
107,Spider\'s Web,NULL,NULL,
108,let\'s visit the X-Men,NULL,NULL,
109,Spider\'s Web,NULL,NULL,
110,Spider\'s Web,NULL,NULL,
111,let\'s visit the X-Men,NULL,NULL,
112,Spider\'s Web,NULL,NULL,
113,let\'s visit the X-Men,NULL,NULL,
114,Spider\'s Web,NULL,NULL,
115,Spider\'s Web,NULL,NULL,
116,let\'s visit the X-Men,NULL,NULL,
117,Spider\'s Web,NULL,NULL,
118,Spider\'s Web,NULL,NULL,
119,let\'s visit the X-Men,NULL,NULL,
120,let\'s visit the X-Men,NULL,NULL,
121,let\'s visit the X-Men,NULL,NULL,
122,Spider\'s Web,NULL,NULL,
123,let\'s visit the X-Men,NULL,NULL,
124,Spider\'s Web,NULL,NULL,
125,Spider\'s Web,NULL,NULL,
126,let\'s visit the X-Men,NULL,NULL,
127,Spider\'s Web,NULL,NULL,
128,let\'s visit the X-Men,NULL,NULL,
129,Spider\'s Web,NULL,NULL,
130,Spider\'s Web,NULL,NULL,
131,Spider\'s Web,NULL,NULL,
132,Spider\'s Web,NULL,NULL,
133,Spider\'s Web,NULL,NULL,
134,Spider\'s Web,NULL,NULL,
135,Spider\'s Web,NULL,NULL,
136,Spider\'s Web,NULL,NULL,
137,Spider\'s Web,NULL,NULL,
138,let\'s visit the X-Men,NULL,NULL,
139,let\'s visit the X-Men,NULL,NULL,
140,let\'s visit the X-Men,NULL,NULL,
141,let\'s visit the X-Men,NULL,NULL,
142,let\'s visit the X-Men,NULL,NULL,
143,let\'s visit the X-Men,NULL,NULL,
144,let\'s visit the X-Men,NULL,NULL,
145,let\'s visit the X-Men,NULL,NULL,
146,let\'s visit the X-Men,NULL,NULL,
147,let\'s visit the X-Men,NULL,NULL,
148,let\'s visit the X-Men,NULL,"The address in this issue is given as 400 Centre St., however in a previous issue the address was given as 400 Ward St. The Ward St. address appears to be correct as 400 Centre St. appears to be a business district.",
149,let\'s visit the X-Men,NULL,NULL,
150,let\'s visit the X-Men,NULL,NULL,
151,let\'s visit the X-Men,NULL,NULL,
152,let\'s visit the X-Men,NULL,NULL,
153,let\'s visit the X-Men,NULL,NULL,
154,Spider\'s Web,NULL,NULL,
155,Spider\'s Web,NULL,NULL,
156,Spider\'s Web,NULL,NULL,
157,Spider\'s Web,NULL,NULL,
158,Spider\'s Web,NULL,NULL,
159,Spider\'s Web,NULL,NULL,
160,Spider\'s Web,NULL,NULL,
161,Spider\'s Web,NULL,NULL,
162,Spider\'s Web,NULL,NULL,
163,Spider\'s Web,NULL,NULL,
164,Spider\'s Web,NULL,NULL,
165,Spider\'s Web,NULL,NULL,
166,Spider\'s Web,NULL,NULL,
167,Spider\'s Web,NULL,NULL,
168,Spider\'s Web,NULL,NULL,
169,Spider\'s Web,NULL,NULL,
170,Spider\'s Web,NULL,NULL,
171,Spider\'s Web,NULL,NULL,
172,Spider\'s Web,NULL,NULL,
173,Spider\'s Web,NULL,NULL,
174,Spider\'s Web,NULL,NULL,
175,Spider\'s Web,NULL,NULL,
176,Spider\'s Web,NULL,NULL,
177,Spider\'s Web,NULL,NULL,
178,Spider\'s Web,NULL,NULL,
179,Spider\'s Web,NULL,NULL,
180,Spider\'s Web,NULL,NULL,
181,Spider\'s Web,NULL,NULL,
182,Spider\'s Web,NULL,NULL,
183,Spider\'s Web,NULL,NULL,
184,Spider\'s Web,NULL,NULL,
185,Spider\'s Web,NULL,NULL,
186,Spider\'s Web,NULL,NULL,
187,Spider\'s Web,NULL,NULL,
188,Spider\'s Web,NULL,NULL,
189,Spider\'s Web,NULL,NULL,
190,Spider\\\'s Web,NULL,NULL,
191,Spider\\\'s Web,NULL,NULL,
192,Spider\'s Web,NULL,NULL,
193,Spider\\\'s Web,NULL,NULL,
194,Spider\\\'s Web,NULL,NULL,
195,Spider\\\'s Web,NULL,NULL,
196,Spider\\\'s Web,NULL,NULL,
197,let\'s visit the X-Men,NULL,NULL,
198,Spider\\\'s Web,NULL,NULL,
199,Spider\\\'s Web,NULL,NULL,
200,Spider\\\'s Web,NULL,NULL,
201,Spider\\\'s Web,NULL,NULL,
202,Spider\\\'s Web,NULL,NULL,
203,Spider\\\'s Web,NULL,NULL,
204,Spider\\\'s Web,NULL,NULL,
205,Spider\\\'s Web,NULL,NULL,
206,Let\'s Visit the X-Men,NULL,NULL,
207,Let\'s Visit the X-Men,NULL,NULL,
208,Let\'s Visit the X-Men,NULL,NULL,
209,Let\'s Visit the X-Men,NULL,NULL,
210,Let\'s Visit the X-Men,NULL,NULL,
211,Let\'s Visit the X-Men,NULL,NULL,
212,Let\'s Visit the X-Men,NULL,NULL,
213,Let\'s Visit the X-Men,NULL,NULL,
214,Let\'s Visit the X-Men,NULL,NULL,
215,Let\'s Visit the X-Men,NULL,NULL,
216,Let\'s Visit the X-men,NULL,NULL,
217,Let\'s Visit the X-Men,NULL,NULL,
218,Let\'s Visit the X-Men,NULL,NULL,
219,Let\'s Visit the X-Men,NULL,NULL,
220,Let\'s Visit the X-Men,NULL,NULL,
221,Let\'s Visit the X-Men,NULL,NULL,
222,Let\'s Visit the X-Men,NULL,NULL,
223,Let\'s Visit the X-Men,NULL,NULL,
224,Let\'s Visit the X-Men,NULL,NULL,
225,Let\'s Visit the X-Men,NULL,NULL,
226,Spider\\\'s Web,NULL,NULL,
227,Spider\\\'s Web,NULL,NULL,
228,Spider\\\'s Web,NULL,NULL,
229,Spider\\\'s Web,NULL,NULL,
230,Spider\\\'s Web,NULL,NULL,
231,Spider\\\'s Web,NULL,NULL,
232,Spider\\\'s Web,NULL,NULL,
233,Spider\\\'s Web,NULL,NULL,
234,Spider\\\'s Web,NULL,NULL,
235,Spider\\\'s Web,NULL,NULL,
236,Spider\\\'s Web,NULL,NULL,
237,Spider\\\'s Web,NULL,NULL,
238,Spider\\\'s Web,NULL,NULL,
239,Spider\\\'s Web,NULL,NULL,
240,Spider\\\'s Web,NULL,NULL,
241,Spider\\\'s Web,NULL,NULL,
242,Spider\\\'s Web,NULL,NULL,
243,Spider\\\'s Web,NULL,NULL,
244,Spider\\\'s Web,NULL,NULL,
245,Spider\'s Web,NULL,NULL,
